,index,req_accuracy,req_delay,req_id,served_delay,served_model,served_pred,true_answer,high_acc,low_delay,client_id,served_model_name,served_accuracy,served_pre_accuracy,post-QoS,algorithm,QoS,mc_run
16,16,1.0,0.0,16,0.23691749572753906,3,44,44,True,True,rpi4-1,MobileNet,0.75,0.71878,0.7565412521362305,Optimal,0.8098070827125,0
17,17,1.0,0.0,17,0.23733162879943848,3,275,275,True,True,rpi4-1,MobileNet,0.75,0.71878,0.7563341856002808,Optimal,0.8098070827125,0
18,18,1.0,0.0,18,0.21141862869262695,3,94,16,True,True,rpi4-1,MobileNet,0.75,0.71878,0.7692906856536865,Optimal,0.8098070827125,0
19,19,1.0,0.0,19,0.23867130279541016,3,79,79,True,True,rpi4-1,MobileNet,0.75,0.71878,0.7556643486022949,Optimal,0.8098070827125,0
20,20,0.5,0.0,20,0.7520203590393066,0,108,397,False,True,jetson,AlexNet,0.4,0.56522,0.5739898204803466,Optimal,0.959606171503125,0
21,21,0.5,0.0,21,0.2175910472869873,0,410,477,False,True,jetson,AlexNet,0.4,0.56522,0.8412044763565063,Optimal,0.959606171503125,0
22,22,0.5,0.0,22,0.15556669235229492,0,431,431,False,True,jetson,AlexNet,0.4,0.56522,0.8722166538238525,Optimal,0.959606171503125,0
23,23,0.5,0.0,23,0.17744159698486328,0,424,424,False,True,jetson,AlexNet,0.4,0.56522,0.8612792015075683,Optimal,0.959606171503125,0
24,24,0.5,0.0,24,0.1899418830871582,0,522,522,False,True,jetson,AlexNet,0.4,0.56522,0.8550290584564209,Optimal,0.959606171503125,0
25,25,0.5,0.0,25,0.16141247749328613,0,883,509,False,True,jetson,AlexNet,0.4,0.56522,0.8692937612533569,Optimal,0.959606171503125,0
26,26,0.5,0.0,26,0.1265265941619873,0,516,435,False,True,jetson,AlexNet,0.4,0.56522,0.8867367029190063,Optimal,0.959606171503125,0
27,27,0.5,0.0,27,0.15536236763000488,0,596,596,False,True,jetson,AlexNet,0.4,0.56522,0.8723188161849975,Optimal,0.959606171503125,0
28,28,0.5,0.0,28,0.15981292724609375,0,726,563,False,True,jetson,AlexNet,0.4,0.56522,0.8700935363769531,Optimal,0.959606171503125,0
29,29,0.5,0.0,29,0.15575766563415527,0,607,556,False,True,jetson,AlexNet,0.4,0.56522,0.8721211671829223,Optimal,0.959606171503125,0
30,0,1.0,0.0,10,0.22636866569519043,3,317,317,True,True,rpi4-1,MobileNet,0.75,0.71878,0.7618156671524048,EGP,0.8098070827125,0
31,1,1.0,0.0,11,0.5305132865905762,3,44,44,True,True,rpi4-1,MobileNet,0.75,0.71878,0.6097433567047119,EGP,0.8098070827125,0
32,2,1.0,0.0,12,0.5402085781097412,3,72,72,True,True,rpi4-1,MobileNet,0.75,0.71878,0.6048957109451294,EGP,0.8098070827125,0
33,3,1.0,0.0,13,0.2546348571777344,3,114,114,True,True,rpi4-1,MobileNet,0.75,0.71878,0.7476825714111328,EGP,0.8098070827125,0
34,4,1.0,0.0,14,0.2343275547027588,3,172,172,True,True,rpi4-1,MobileNet,0.75,0.71878,0.7578362226486206,EGP,0.8098070827125,0
35,5,1.0,0.0,15,0.2279834747314453,3,147,147,True,True,rpi4-1,MobileNet,0.75,0.71878,0.7610082626342773,EGP,0.8098070827125,0
36,6,1.0,0.0,16,0.214921236038208,3,44,44,True,True,rpi4-1,MobileNet,0.75,0.71878,0.767539381980896,EGP,0.8098070827125,0
37,7,1.0,0.0,17,0.20171880722045898,3,275,275,True,True,rpi4-1,MobileNet,0.75,0.71878,0.7741405963897705,EGP,0.8098070827125,0
38,8,1.0,0.0,18,0.24139833450317383,3,94,16,True,True,rpi4-1,MobileNet,0.75,0.71878,0.7543008327484131,EGP,0.8098070827125,0
39,9,1.0,0.0,19,0.22402667999267578,3,79,79,True,True,rpi4-1,MobileNet,0.75,0.71878,0.7629866600036621,EGP,0.8098070827125,0
40,10,1.0,0.5,0,0.30849504470825195,3,938,938,True,False,jetson2,MobileNet,0.75,0.71878,0.875,EGP,0.8098070827125,0
41,11,1.0,0.5,1,0.21270489692687988,3,874,874,True,False,jetson2,MobileNet,0.75,0.71878,0.875,EGP,0.8098070827125,0
42,12,1.0,0.5,2,0.19078302383422852,3,560,908,True,False,jetson2,MobileNet,0.75,0.71878,0.875,EGP,0.8098070827125,0
43,13,1.0,0.5,3,0.1603684425354004,3,755,755,True,False,jetson2,MobileNet,0.75,0.71878,0.875,EGP,0.8098070827125,0
44,14,1.0,0.5,4,0.21434402465820312,3,652,830,True,False,jetson2,MobileNet,0.75,0.71878,0.875,EGP,0.8098070827125,0
45,15,1.0,0.5,5,0.1672499179840088,3,931,931,True,False,jetson2,MobileNet,0.75,0.71878,0.875,EGP,0.8098070827125,0
46,16,1.0,0.5,6,0.18592596054077148,3,999,999,True,False,jetson2,MobileNet,0.75,0.71878,0.875,EGP,0.8098070827125,0
47,17,1.0,0.5,7,0.15011262893676758,3,692,963,True,False,jetson2,MobileNet,0.75,0.71878,0.875,EGP,0.8098070827125,0
48,18,1.0,0.5,8,0.1374378204345703,3,999,999,True,False,jetson2,MobileNet,0.75,0.71878,0.875,EGP,0.8098070827125,0
49,19,1.0,0.5,9,0.14469265937805176,3,434,885,True,False,jetson2,MobileNet,0.75,0.71878,0.875,EGP,0.8098070827125,0
50,20,0.5,0.0,20,0.3303811550140381,0,108,397,False,True,jetson,AlexNet,0.4,0.56522,0.7848094224929809,EGP,0.959606171503125,0
51,21,0.5,0.0,21,0.15559816360473633,0,410,477,False,True,jetson,AlexNet,0.4,0.56522,0.8722009181976318,EGP,0.959606171503125,0
52,22,0.5,0.0,22,0.14630603790283203,0,431,431,False,True,jetson,AlexNet,0.4,0.56522,0.8768469810485839,EGP,0.959606171503125,0
53,23,0.5,0.0,23,0.13764238357543945,0,424,424,False,True,jetson,AlexNet,0.4,0.56522,0.8811788082122802,EGP,0.959606171503125,0
54,24,0.5,0.0,24,0.14127039909362793,0,522,522,False,True,jetson,AlexNet,0.4,0.56522,0.879364800453186,EGP,0.959606171503125,0
55,25,0.5,0.0,25,0.15835189819335938,0,883,509,False,True,jetson,AlexNet,0.4,0.56522,0.8708240509033203,EGP,0.959606171503125,0
56,26,0.5,0.0,26,0.16756796836853027,0,516,435,False,True,jetson,AlexNet,0.4,0.56522,0.8662160158157348,EGP,0.959606171503125,0
57,27,0.5,0.0,27,0.1684587001800537,0,596,596,False,True,jetson,AlexNet,0.4,0.56522,0.8657706499099731,EGP,0.959606171503125,0
58,28,0.5,0.0,28,0.1252908706665039,0,726,563,False,True,jetson,AlexNet,0.4,0.56522,0.887354564666748,EGP,0.959606171503125,0
59,29,0.5,0.0,29,0.13076090812683105,0,607,556,False,True,jetson,AlexNet,0.4,0.56522,0.8846195459365844,EGP,0.959606171503125,0
60,0,1.0,0.0,10,0.30391860008239746,3,317,317,True,True,rpi4-1,MobileNet,0.75,0.71878,0.7230406999588013,AGP,0.8098070827125,0
61,1,1.0,0.0,11,0.23390626907348633,3,44,44,True,True,rpi4-1,MobileNet,0.75,0.71878,0.7580468654632568,AGP,0.8098070827125,0
62,2,1.0,0.0,12,0.24641132354736328,3,72,72,True,True,rpi4-1,MobileNet,0.75,0.71878,0.7517943382263184,AGP,0.8098070827125,0
63,3,1.0,0.0,13,0.23708701133728027,3,114,114,True,True,rpi4-1,MobileNet,0.75,0.71878,0.7564564943313599,AGP,0.8098070827125,0
64,4,1.0,0.0,14,0.26552295684814453,3,172,172,True,True,rpi4-1,MobileNet,0.75,0.71878,0.7422385215759277,AGP,0.8098070827125,0
65,5,1.0,0.0,15,0.2745046615600586,3,147,147,True,True,rpi4-1,MobileNet,0.75,0.71878,0.7377476692199707,AGP,0.8098070827125,0
66,6,1.0,0.0,16,0.23704814910888672,3,44,44,True,True,rpi4-1,MobileNet,0.75,0.71878,0.7564759254455566,AGP,0.8098070827125,0
67,7,1.0,0.0,17,0.21447992324829102,3,275,275,True,True,rpi4-1,MobileNet,0.75,0.71878,0.7677600383758545,AGP,0.8098070827125,0
68,8,1.0,0.0,18,0.18753528594970703,3,94,16,True,True,rpi4-1,MobileNet,0.75,0.71878,0.7812323570251465,AGP,0.8098070827125,0
69,9,1.0,0.0,19,0.2011401653289795,3,79,79,True,True,rpi4-1,MobileNet,0.75,0.71878,0.7744299173355103,AGP,0.8098070827125,0
70,10,1.0,0.5,0,0.3259847164154053,3,938,938,True,False,jetson2,MobileNet,0.75,0.71878,0.875,AGP,0.8098070827125,0
71,11,1.0,0.5,1,0.20454788208007812,3,874,874,True,False,jetson2,MobileNet,0.75,0.71878,0.875,AGP,0.8098070827125,0
72,12,1.0,0.5,2,0.22513341903686523,3,560,908,True,False,jetson2,MobileNet,0.75,0.71878,0.875,AGP,0.8098070827125,0
73,13,1.0,0.5,3,0.14606666564941406,3,755,755,True,False,jetson2,MobileNet,0.75,0.71878,0.875,AGP,0.8098070827125,0
74,14,1.0,0.5,4,0.1472463607788086,3,652,830,True,False,jetson2,MobileNet,0.75,0.71878,0.875,AGP,0.8098070827125,0
75,15,1.0,0.5,5,0.2073516845703125,3,931,931,True,False,jetson2,MobileNet,0.75,0.71878,0.875,AGP,0.8098070827125,0
76,16,1.0,0.5,6,0.2490549087524414,3,999,999,True,False,jetson2,MobileNet,0.75,0.71878,0.875,AGP,0.8098070827125,0
77,17,1.0,0.5,7,0.19078803062438965,3,692,963,True,False,jetson2,MobileNet,0.75,0.71878,0.875,AGP,0.8098070827125,0
78,18,1.0,0.5,8,0.13421201705932617,3,999,999,True,False,jetson2,MobileNet,0.75,0.71878,0.875,AGP,0.8098070827125,0
79,19,1.0,0.5,9,0.14797496795654297,3,434,885,True,False,jetson2,MobileNet,0.75,0.71878,0.875,AGP,0.8098070827125,0
80,20,0.5,0.0,20,0.25655484199523926,0,108,397,False,True,jetson,AlexNet,0.4,0.56522,0.8217225790023803,AGP,0.959606171503125,0
81,21,0.5,0.0,21,0.1480884552001953,0,410,477,False,True,jetson,AlexNet,0.4,0.56522,0.8759557723999023,AGP,0.959606171503125,0
82,22,0.5,0.0,22,0.13090848922729492,0,431,431,False,True,jetson,AlexNet,0.4,0.56522,0.8845457553863525,AGP,0.959606171503125,0
83,23,0.5,0.0,23,0.14028620719909668,0,424,424,False,True,jetson,AlexNet,0.4,0.56522,0.8798568964004516,AGP,0.959606171503125,0
84,24,0.5,0.0,24,0.1334218978881836,0,522,522,False,True,jetson,AlexNet,0.4,0.56522,0.8832890510559082,AGP,0.959606171503125,0
85,25,0.5,0.0,25,0.12862515449523926,0,883,509,False,True,jetson,AlexNet,0.4,0.56522,0.8856874227523803,AGP,0.959606171503125,0
86,26,0.5,0.0,26,0.12825298309326172,0,516,435,False,True,jetson,AlexNet,0.4,0.56522,0.8858735084533691,AGP,0.959606171503125,0
87,27,0.5,0.0,27,0.18570613861083984,0,596,596,False,True,jetson,AlexNet,0.4,0.56522,0.85714693069458,AGP,0.959606171503125,0
88,28,0.5,0.0,28,0.24440932273864746,0,726,563,False,True,jetson,AlexNet,0.4,0.56522,0.8277953386306762,AGP,0.959606171503125,0
89,29,0.5,0.0,29,0.1640017032623291,0,607,556,False,True,jetson,AlexNet,0.4,0.56522,0.8679991483688354,AGP,0.959606171503125,0
90,0,1.0,0.0,10,0.2888808250427246,3,317,317,True,True,rpi4-1,MobileNet,0.7333333333333333,0.71878,0.7222262541453044,Knapsack,0.8098070827125,0
91,1,1.0,0.0,11,0.246628999710083,3,44,44,True,True,rpi4-1,MobileNet,0.7333333333333333,0.71878,0.7433521668116252,Knapsack,0.8098070827125,0
92,2,1.0,0.0,12,0.2382216453552246,3,72,72,True,True,rpi4-1,MobileNet,0.7333333333333333,0.71878,0.7475558439890544,Knapsack,0.8098070827125,0
93,3,1.0,0.0,13,0.2540261745452881,3,114,114,True,True,rpi4-1,MobileNet,0.7333333333333333,0.71878,0.7396535793940227,Knapsack,0.8098070827125,0
94,4,1.0,0.0,14,0.20469069480895996,3,172,172,True,True,rpi4-1,MobileNet,0.7333333333333333,0.71878,0.7643213192621867,Knapsack,0.8098070827125,0
95,5,1.0,0.0,15,0.22500944137573242,3,147,147,True,True,rpi4-1,MobileNet,0.7333333333333333,0.71878,0.7541619459788005,Knapsack,0.8098070827125,0
96,6,1.0,0.0,16,0.24088382720947266,3,44,44,True,True,rpi4-1,MobileNet,0.7333333333333333,0.71878,0.7462247530619304,Knapsack,0.8098070827125,0
97,7,1.0,0.0,17,0.2159874439239502,3,275,275,True,True,rpi4-1,MobileNet,0.7333333333333333,0.71878,0.7586729447046916,Knapsack,0.8098070827125,0
98,8,1.0,0.0,18,0.21016335487365723,3,94,16,True,True,rpi4-1,MobileNet,0.7333333333333333,0.71878,0.7615849892298381,Knapsack,0.8098070827125,0
99,9,1.0,0.0,19,0.24154305458068848,3,79,79,True,True,rpi4-1,MobileNet,0.7333333333333333,0.71878,0.7458951393763225,Knapsack,0.8098070827125,0
100,10,1.0,0.5,0,0.3225691318511963,3,938,938,True,False,jetson2,MobileNet,0.7333333333333333,0.71878,0.8666666666666667,Knapsack,0.8098070827125,0
101,11,1.0,0.5,1,0.241041898727417,3,874,874,True,False,jetson2,MobileNet,0.7333333333333333,0.71878,0.8666666666666667,Knapsack,0.8098070827125,0
102,12,1.0,0.5,2,0.15615177154541016,3,560,908,True,False,jetson2,MobileNet,0.7333333333333333,0.71878,0.8666666666666667,Knapsack,0.8098070827125,0
103,13,1.0,0.5,3,0.17435884475708008,3,755,755,True,False,jetson2,MobileNet,0.7333333333333333,0.71878,0.8666666666666667,Knapsack,0.8098070827125,0
104,14,1.0,0.5,4,0.2214813232421875,3,652,830,True,False,jetson2,MobileNet,0.7333333333333333,0.71878,0.8666666666666667,Knapsack,0.8098070827125,0
105,15,1.0,0.5,5,0.3106505870819092,3,931,931,True,False,jetson2,MobileNet,0.7333333333333333,0.71878,0.8666666666666667,Knapsack,0.8098070827125,0
106,16,1.0,0.5,6,0.2268061637878418,3,999,999,True,False,jetson2,MobileNet,0.7333333333333333,0.71878,0.8666666666666667,Knapsack,0.8098070827125,0
107,17,1.0,0.5,7,0.16351652145385742,3,692,963,True,False,jetson2,MobileNet,0.7333333333333333,0.71878,0.8666666666666667,Knapsack,0.8098070827125,0
108,18,1.0,0.5,8,0.1525874137878418,3,999,999,True,False,jetson2,MobileNet,0.7333333333333333,0.71878,0.8666666666666667,Knapsack,0.8098070827125,0
109,19,1.0,0.5,9,0.15029096603393555,3,434,885,True,False,jetson2,MobileNet,0.7333333333333333,0.71878,0.8666666666666667,Knapsack,0.8098070827125,0
110,20,0.5,0.0,20,0.22295212745666504,3,397,397,False,True,jetson,MobileNet,0.7333333333333333,0.71878,0.8885239362716675,Knapsack,0.9504170827125,0
111,21,0.5,0.0,21,0.12432408332824707,3,742,477,False,True,jetson,MobileNet,0.7333333333333333,0.71878,0.9378379583358765,Knapsack,0.9504170827125,0
112,22,0.5,0.0,22,0.15439343452453613,3,431,431,False,True,jetson,MobileNet,0.7333333333333333,0.71878,0.9228032827377319,Knapsack,0.9504170827125,0
113,23,0.5,0.0,23,0.1467137336730957,3,424,424,False,True,jetson,MobileNet,0.7333333333333333,0.71878,0.9266431331634521,Knapsack,0.9504170827125,0
114,24,0.5,0.0,24,0.16478371620178223,3,522,522,False,True,jetson,MobileNet,0.7333333333333333,0.71878,0.9176081418991089,Knapsack,0.9504170827125,0
115,25,0.5,0.0,25,0.14855504035949707,3,924,509,False,True,jetson,MobileNet,0.7333333333333333,0.71878,0.9257224798202515,Knapsack,0.9504170827125,0
116,26,0.5,0.0,26,0.17418670654296875,3,876,435,False,True,jetson,MobileNet,0.7333333333333333,0.71878,0.9129066467285156,Knapsack,0.9504170827125,0
117,27,0.5,0.0,27,0.1849062442779541,3,596,596,False,True,jetson,MobileNet,0.7333333333333333,0.71878,0.907546877861023,Knapsack,0.9504170827125,0
118,28,0.5,0.0,28,0.16956710815429688,3,563,563,False,True,jetson,MobileNet,0.7333333333333333,0.71878,0.9152164459228516,Knapsack,0.9504170827125,0
119,29,0.5,0.0,29,0.154616117477417,3,556,556,False,True,jetson,MobileNet,0.7333333333333333,0.71878,0.9226919412612915,Knapsack,0.9504170827125,0
120,0,1.0,0.0,10,0.2926967144012451,4,317,317,True,True,rpi4-1,ResNet,0.8571428571428571,0.69758,0.782223071370806,Random,0.76534232088125,0
121,1,1.0,0.0,11,0.6253418922424316,1,44,44,True,True,rpi4-1,DenseNet,0.8571428571428571,0.77138,0.6159004824502128,Random,0.48297776649687496,0
122,2,1.0,0.0,12,0.21372151374816895,3,72,72,True,True,rpi4-1,MobileNet,0.6666666666666666,0.71878,0.7264725764592488,Random,0.8098070827125,0
123,3,1.0,0.0,13,0.20015406608581543,3,114,114,True,True,rpi4-1,MobileNet,0.6666666666666666,0.71878,0.7332563002904255,Random,0.8098070827125,0
124,4,1.0,0.0,14,0.5606927871704102,1,172,172,True,True,rpi4-1,DenseNet,0.8571428571428571,0.77138,0.6482250349862235,Random,0.48297776649687496,0
125,5,1.0,0.0,15,0.24151897430419922,3,147,147,True,True,rpi4-1,MobileNet,0.6666666666666666,0.71878,0.7125738461812336,Random,0.8098070827125,0
126,6,1.0,0.0,16,0.3190336227416992,2,44,44,True,True,rpi4-1,GoogLeNet,0.75,0.69778,0.7154831886291504,Random,0.7341957254281251,0
127,7,1.0,0.0,17,0.2469499111175537,5,275,275,True,True,rpi4-1,SqueezeNet,0.3333333333333333,0.58092,0.5431917111078898,Random,0.723631531590625,0
128,8,1.0,0.0,18,0.5246274471282959,1,90,16,True,True,rpi4-1,DenseNet,0.8571428571428571,0.77138,0.6662577050072807,Random,0.48297776649687496,0
129,9,1.0,0.0,19,0.26900339126586914,2,79,79,True,True,rpi4-1,GoogLeNet,0.75,0.69778,0.7404983043670654,Random,0.7341957254281251,0
130,10,1.0,0.5,0,0.2559936046600342,3,938,938,True,False,jetson2,MobileNet,0.6666666666666666,0.71878,0.8333333333333333,Random,0.8098070827125,0
131,11,1.0,0.5,1,0.5597720146179199,1,874,874,True,False,jetson2,DenseNet,0.8571428571428571,0.77138,0.8986854212624686,Random,0.48297776649687496,0
132,12,1.0,0.5,2,0.2791409492492676,5,843,908,True,False,jetson2,SqueezeNet,0.3333333333333333,0.58092,0.6666666666666666,Random,0.723631531590625,0
133,13,1.0,0.5,3,0.26370882987976074,4,755,755,True,False,jetson2,ResNet,0.8571428571428571,0.69758,0.9285714285714286,Random,0.76534232088125,0
134,14,1.0,0.5,4,0.48294544219970703,2,652,830,True,False,jetson2,GoogLeNet,0.75,0.69778,0.875,Random,0.7341957254281251,0
135,15,1.0,0.5,5,0.6136596202850342,1,931,931,True,False,jetson2,DenseNet,0.8571428571428571,0.77138,0.8717416184289115,Random,0.48297776649687496,0
136,16,1.0,0.5,6,0.2058563232421875,4,419,999,True,False,jetson2,ResNet,0.8571428571428571,0.69758,0.9285714285714286,Random,0.76534232088125,0
137,17,1.0,0.5,7,0.2150561809539795,5,509,963,True,False,jetson2,SqueezeNet,0.3333333333333333,0.58092,0.6666666666666666,Random,0.723631531590625,0
138,18,1.0,0.5,8,0.19794297218322754,4,999,999,True,False,jetson2,ResNet,0.8571428571428571,0.69758,0.9285714285714286,Random,0.76534232088125,0
139,19,1.0,0.5,9,0.15355205535888672,3,434,885,True,False,jetson2,MobileNet,0.6666666666666666,0.71878,0.8333333333333333,Random,0.8098070827125,0
140,20,0.5,0.0,20,0.8198466300964355,1,397,397,False,True,jetson,DenseNet,0.8571428571428571,0.77138,0.5900766849517822,Random,0.597287766496875,0
141,21,0.5,0.0,21,0.2590062618255615,5,710,477,False,True,jetson,SqueezeNet,0.3333333333333333,0.58092,0.7871635357538859,Random,0.933171531590625,0
142,22,0.5,0.0,22,0.1618502140045166,5,431,431,False,True,jetson,SqueezeNet,0.3333333333333333,0.58092,0.8357415596644083,Random,0.933171531590625,0
143,23,0.5,0.0,23,0.14020752906799316,5,571,424,False,True,jetson,SqueezeNet,0.3333333333333333,0.58092,0.84656290213267,Random,0.933171531590625,0
144,24,0.5,0.0,24,0.18999052047729492,4,522,522,False,True,jetson,ResNet,0.8571428571428571,0.69758,0.9050047397613525,Random,0.91655232088125,0
145,25,0.5,0.0,25,0.11915421485900879,3,924,509,False,True,jetson,MobileNet,0.6666666666666666,0.71878,0.9404228925704956,Random,0.9504170827125,0
146,26,0.5,0.0,26,0.26021313667297363,2,435,435,False,True,jetson,GoogLeNet,0.75,0.69778,0.8698934316635132,Random,0.885305725428125,0
147,27,0.5,0.0,27,0.1696457862854004,4,596,596,False,True,jetson,ResNet,0.8571428571428571,0.69758,0.9151771068572998,Random,0.91655232088125,0
148,28,0.5,0.0,28,0.5356259346008301,1,563,563,False,True,jetson,DenseNet,0.8571428571428571,0.77138,0.732187032699585,Random,0.597287766496875,0
149,29,0.5,0.0,29,0.2597930431365967,4,556,556,False,True,jetson,ResNet,0.8571428571428571,0.69758,0.8701034784317017,Random,0.91655232088125,0
150,0,1.0,0.0,10,0.3109476566314697,3,314,314,True,True,rpi4-1,MobileNet,0.85,0.71878,0.7695261716842652,Optimal,0.8098070827125,1
151,1,1.0,0.0,11,0.18646931648254395,3,98,98,True,True,rpi4-1,MobileNet,0.85,0.71878,0.8317653417587281,Optimal,0.8098070827125,1
152,2,1.0,0.0,12,0.20268559455871582,3,43,42,True,True,rpi4-1,MobileNet,0.85,0.71878,0.8236572027206421,Optimal,0.8098070827125,1
153,3,1.0,0.0,13,0.23473691940307617,3,284,284,True,True,rpi4-1,MobileNet,0.85,0.71878,0.807631540298462,Optimal,0.8098070827125,1
154,4,1.0,0.0,14,0.2206251621246338,3,16,16,True,True,rpi4-1,MobileNet,0.85,0.71878,0.8146874189376831,Optimal,0.8098070827125,1
155,5,1.0,0.0,15,0.2606394290924072,3,293,293,True,True,rpi4-1,MobileNet,0.85,0.71878,0.7946802854537964,Optimal,0.8098070827125,1
156,6,1.0,0.0,16,0.22586894035339355,3,188,188,True,True,rpi4-1,MobileNet,0.85,0.71878,0.8120655298233033,Optimal,0.8098070827125,1
157,7,1.0,0.0,17,0.23223400115966797,3,159,159,True,True,rpi4-1,MobileNet,0.85,0.71878,0.8088829994201661,Optimal,0.8098070827125,1
158,8,1.0,0.0,18,0.19301724433898926,3,164,164,True,True,rpi4-1,MobileNet,0.85,0.71878,0.8284913778305054,Optimal,0.8098070827125,1
159,9,1.0,0.0,19,0.19877076148986816,3,71,71,True,True,rpi4-1,MobileNet,0.85,0.71878,0.825614619255066,Optimal,0.8098070827125,1
160,10,0.5,0.0,20,0.2144472599029541,0,336,336,False,True,jetson,AlexNet,0.8,0.56522,0.892776370048523,Optimal,0.959606171503125,1
161,11,0.5,0.0,21,0.13802027702331543,0,610,610,False,True,jetson,AlexNet,0.8,0.56522,0.9309898614883423,Optimal,0.959606171503125,1
162,12,0.5,0.0,22,0.16091012954711914,0,670,621,False,True,jetson,AlexNet,0.8,0.56522,0.9195449352264404,Optimal,0.959606171503125,1
163,13,0.5,0.0,23,0.14545631408691406,0,608,608,False,True,jetson,AlexNet,0.8,0.56522,0.927271842956543,Optimal,0.959606171503125,1
164,14,0.5,0.0,24,0.13177967071533203,0,605,605,False,True,jetson,AlexNet,0.8,0.56522,0.934110164642334,Optimal,0.959606171503125,1
165,15,0.5,0.0,25,0.13475918769836426,0,346,346,False,True,jetson,AlexNet,0.8,0.56522,0.9326204061508179,Optimal,0.959606171503125,1
166,16,0.5,0.0,26,0.11843419075012207,0,426,426,False,True,jetson,AlexNet,0.8,0.56522,0.940782904624939,Optimal,0.959606171503125,1
167,17,0.5,0.0,27,0.16884112358093262,0,582,509,False,True,jetson,AlexNet,0.8,0.56522,0.9155794382095337,Optimal,0.959606171503125,1
168,18,0.5,0.0,28,0.16430163383483887,0,625,625,False,True,jetson,AlexNet,0.8,0.56522,0.9178491830825806,Optimal,0.959606171503125,1
169,19,0.5,0.0,29,0.15105175971984863,0,417,417,False,True,jetson,AlexNet,0.8,0.56522,0.9244741201400757,Optimal,0.959606171503125,1
170,20,1.0,0.5,0,0.336597204208374,3,902,902,True,False,jetson2,MobileNet,0.85,0.71878,0.925,Optimal,0.8098070827125,1
171,21,1.0,0.5,1,0.22405600547790527,3,806,806,True,False,jetson2,MobileNet,0.85,0.71878,0.925,Optimal,0.8098070827125,1
172,22,1.0,0.5,2,0.1736452579498291,3,756,756,True,False,jetson2,MobileNet,0.85,0.71878,0.925,Optimal,0.8098070827125,1
173,23,1.0,0.5,3,0.1444854736328125,3,684,684,True,False,jetson2,MobileNet,0.85,0.71878,0.925,Optimal,0.8098070827125,1
174,24,1.0,0.5,4,0.1526956558227539,3,497,698,True,False,jetson2,MobileNet,0.85,0.71878,0.925,Optimal,0.8098070827125,1
175,25,1.0,0.5,5,0.18128108978271484,3,974,974,True,False,jetson2,MobileNet,0.85,0.71878,0.925,Optimal,0.8098070827125,1
176,26,1.0,0.5,6,0.18828654289245605,3,927,927,True,False,jetson2,MobileNet,0.85,0.71878,0.925,Optimal,0.8098070827125,1
177,27,1.0,0.5,7,0.1603085994720459,3,891,891,True,False,jetson2,MobileNet,0.85,0.71878,0.925,Optimal,0.8098070827125,1
