,index,req_accuracy,req_delay,req_id,served_delay,served_model,served_pred,true_answer,served_model_name,served_accuracy,QoS,algorithm
81,81,0.9153027047196662,0.1862182643064571,81,0.7563509941101074,1,478,519,DenseNet,0.755,0.7773154651892543,Optimal
82,82,0.852777346320679,0.24578831991052902,82,0.755009651184082,1,473,505,DenseNet,0.755,0.8238059940212723,Optimal
83,83,0.928448252743811,0.10682997964221201,83,0.6788578033447266,1,528,528,DenseNet,0.755,0.7702689177024659,Optimal
84,84,0.746126784944754,0.9632768910051105,84,0.6844773292541504,1,333,333,DenseNet,0.755,1.0,Optimal
85,85,0.994197192375307,1.680283783328587,85,0.7171421051025391,1,315,315,DenseNet,0.755,0.8804014038123464,Optimal
86,86,0.8890216840908148,0.6731896967388618,86,0.7756454944610596,1,679,679,DenseNet,0.755,0.9073752085240432,Optimal
87,87,0.9144279965156595,0.7105428507187296,87,1.0331528186798096,1,316,316,DenseNet,0.755,0.8396335097519002,Optimal
88,88,0.9777721727669657,0.27035080145639934,88,0.9884195327758789,1,956,956,DenseNet,0.755,0.7090967307866473,Optimal
89,89,0.8766148761596081,0.07227692988956583,89,0.9885303974151611,1,616,616,DenseNet,0.755,0.7101291950387971,Optimal
90,90,0.7124700175700012,0.3437942625858103,90,0.9133706092834473,1,147,147,DenseNet,0.755,0.8576059133255908,Optimal
91,91,0.9920113267555164,0.7018417003603079,91,0.71964430809021,1,132,132,DenseNet,0.755,0.8770436846897662,Optimal
92,92,0.8302011156049158,0.05383127842968949,92,0.7053978443145752,1,73,77,DenseNet,0.755,0.7995078007263207,Optimal
93,93,0.9113786779124075,8.671993670978644e-06,93,0.6920862197875977,1,158,158,DenseNet,0.755,0.7487912740953147,Optimal
94,94,0.8451072469695695,0.4169026317367108,94,0.7274730205535889,1,641,641,DenseNet,0.755,0.8773037793109957,Optimal
95,95,0.9896991806325484,2.0,95,0.953589916229248,1,572,572,DenseNet,0.755,0.8826504096837258,Optimal
96,96,0.7576848473047724,0.45671379203124024,96,0.7662899494171143,1,686,686,DenseNet,0.755,0.9212635370011453,Optimal
97,97,0.9504424264316932,0.40863497488195005,97,0.6641719341278076,1,219,219,DenseNet,0.755,0.838394546972689,Optimal
98,98,0.9396685903481988,0.08168474227989023,98,0.6634359359741211,1,94,94,DenseNet,0.755,0.7622279064023428,Optimal
99,99,0.965561074641847,1.4689281227638453,99,0.7154855728149414,1,26,26,DenseNet,0.755,0.8947194626790764,Optimal
100,100,0.8665861481582604,0.21049532443897656,100,0.8186321258544922,1,425,425,DenseNet,0.755,0.7921727255669908,Optimal
101,101,0.9746408549752789,0.3590592031115404,101,0.6133918762207031,1,64,55,DenseNet,0.755,0.8265964042350699,Optimal
102,102,0.9327055955037252,0.052497880060109484,102,0.6130151748657227,1,70,72,DenseNet,0.755,0.7710178785467341,Optimal
103,103,0.5812063577676364,0.07535910492139473,103,0.8173558712005615,1,309,309,DenseNet,0.755,0.8145008084302083,Optimal
104,104,0.8864891456804963,0.26885062698565987,104,0.5739076137542725,1,490,490,DenseNet,0.755,0.8579911804675987,Optimal
105,105,0.9312198903931951,0.6524077012825282,105,0.6528823375701904,1,78,78,DenseNet,0.755,0.9117713957314869,Optimal
106,106,0.970488010582858,0.16778248723109868,106,0.6138417720794678,1,569,569,DenseNet,0.755,0.7807411734964786,Optimal
107,107,0.7677480338967221,0.35028738247641844,107,0.6111750602722168,1,109,390,DenseNet,0.755,0.9284040636026893,Optimal
108,108,0.9431860311768475,0.25504678538650033,108,0.6145167350769043,1,886,886,DenseNet,0.755,0.8160394969889753,Optimal
109,109,0.7454228358871123,0.16457625843156554,109,0.8228487968444824,1,185,185,DenseNet,0.755,0.8354318653967707,Optimal
110,110,0.994105052227563,0.595421644306732,110,0.814096212387085,1,844,481,DenseNet,0.755,0.8257788318661303,Optimal
111,111,0.9927307527178708,0.46551816576956784,111,0.6125409603118896,1,392,392,DenseNet,0.755,0.8443789250054841,Optimal
112,112,0.6987730126617975,0.5282819328984132,112,0.615485668182373,1,761,754,DenseNet,0.755,0.9781990661790101,Optimal
113,113,0.6035656695094489,1.0238065111159833,113,0.6784648895263672,1,540,540,DenseNet,0.755,1.0,Optimal
114,114,0.9883434388980409,0.1892872046833567,114,0.7517850399017334,1,757,757,DenseNet,0.755,0.7427038217463854,Optimal
115,115,0.9823088877444858,0.11504859066274464,115,0.6128172874450684,1,585,585,DenseNet,0.755,0.7619033819321762,Optimal
116,116,0.9763734657029878,0.1269455112645129,116,0.6149876117706299,1,0,0,DenseNet,0.755,0.7673027420219769,Optimal
117,117,0.8619159162088383,0.07379448997886225,117,0.6140353679656982,1,226,226,DenseNet,0.755,0.8114818223988718,Optimal
118,118,0.886357401888619,0.43774983058218986,118,0.6127352714538574,1,219,219,DenseNet,0.755,0.8905749388377736,Optimal
119,119,0.9628473188626728,0.1313229196860079,119,0.505382776260376,1,580,580,DenseNet,0.755,0.8025613764250716,Optimal
120,120,0.8047461920786161,1.0538318556758088,120,0.6142189502716064,1,622,622,DenseNet,0.755,0.975126903960692,Optimal
121,121,0.8646624489886396,0.788344215095018,121,0.6642320156097412,1,371,371,DenseNet,0.755,0.9451687755056801,Optimal
122,122,0.970931747847937,0.08666523613680643,122,0.6681149005889893,1,636,636,DenseNet,0.755,0.7466717099629858,Optimal
123,123,0.9443349151524322,0.1056629105236393,123,0.6167166233062744,1,866,779,DenseNet,0.755,0.7775691142281251,Optimal
124,124,0.9489703983877137,0.10244950042977108,124,0.6118037700653076,1,881,881,DenseNet,0.755,0.775676233397259,Optimal
125,125,0.839346727946963,0.05005319537069995,125,0.6160354614257812,1,316,316,DenseNet,0.755,0.8163310695127481,Optimal
126,126,0.7954609495548832,0.4361519423526898,126,0.6090009212493896,1,48,45,DenseNet,0.755,0.9365572804983835,Optimal
127,127,0.8612144150566443,1.8752703779653754,127,0.6131291389465332,1,421,729,DenseNet,0.755,0.9468927924716779,Optimal
128,128,0.7261201515444625,0.9631653941077227,128,0.6104857921600342,1,281,281,DenseNet,0.755,1.0,Optimal
129,129,0.9684832428274671,0.07828262117062176,129,0.6205673217773438,1,642,642,DenseNet,0.755,0.757687203434586,Optimal
130,130,0.9452884742378274,0.19087393015830806,130,0.6168506145477295,1,650,818,DenseNet,0.755,0.798361591783731,Optimal
131,131,0.8959646065934056,0.16048838495304424,131,0.611215353012085,1,904,904,DenseNet,0.755,0.8168359546885371,Optimal
132,132,0.9980696491654151,0.023816314242361525,132,0.8149013519287109,1,707,707,DenseNet,0.755,0.6806939159957051,Optimal
133,133,0.6544601201274547,0.273955141052738,133,0.6126141548156738,1,508,508,DenseNet,0.755,0.915335246559266,Optimal
134,134,0.9130688666660824,0.031228852512461186,134,0.6157569885253906,1,212,212,DenseNet,0.755,0.7748335326637263,Optimal
135,135,0.9153036852880715,0.8183054268235126,135,0.6104516983032227,1,160,160,DenseNet,0.755,0.9198481573559643,Optimal
136,136,0.9642238952399561,0.1470467749917146,136,0.5245964527130127,1,633,633,DenseNet,0.755,0.8010006329496975,Optimal
137,137,0.9952421738043521,0.10005011694822327,137,0.659876823425293,1,272,272,DenseNet,0.755,0.7399222364785565,Optimal
138,138,0.9339414488100304,0.2278723172751176,138,0.6575043201446533,1,16,16,DenseNet,0.755,0.8031212748776009,Optimal
139,139,0.9676865227264384,0.6966980968841165,139,0.6116573810577393,1,751,740,DenseNet,0.755,0.8936567386367809,Optimal
140,140,0.9241552891011188,0.6850182479859911,140,0.6147825717926025,1,750,448,DenseNet,0.755,0.9154223554494406,Optimal
141,141,0.8179842891824065,0.08369553578697664,141,0.6146519184112549,1,766,766,DenseNet,0.755,0.8357687597527272,Optimal
142,142,0.975206586092366,0.30284602687635576,142,0.6088602542877197,1,781,781,DenseNet,0.755,0.813393150100976,Optimal
143,143,0.974582939790196,0.6358037037717392,143,0.6174428462982178,1,469,469,DenseNet,0.755,0.8902085301049021,Optimal
144,144,0.8210648719122328,0.5256556893668477,144,0.6107759475708008,1,613,877,DenseNet,0.755,0.9456874994928953,Optimal
145,145,0.9880493946953086,0.4722733841294414,145,0.6128706932067871,1,89,89,DenseNet,0.755,0.8483259753830092,Optimal
146,146,0.8455623952194793,0.5250721450555167,146,0.6148710250854492,1,133,133,DenseNet,0.755,0.9322690823827773,Optimal
147,147,0.537230072096275,1.2583892420409384,147,0.6097743511199951,1,723,919,DenseNet,0.755,1.0,Optimal
148,148,0.7469657589080279,0.14254182262018328,148,0.6152184009552002,1,508,681,DenseNet,0.755,0.8818308554162457,Optimal
149,149,0.8164186554603717,0.2720776799631963,149,0.6146461963653564,1,669,669,DenseNet,0.755,0.8836485431692741,Optimal
150,150,0.8424982383805378,0.15232721393717724,150,0.8140993118286133,1,960,967,DenseNet,0.755,0.7908078563368721,Optimal
151,151,0.9909560403001165,0.8235654848129126,151,0.6127243041992188,1,731,731,DenseNet,0.755,0.8820219798499418,Optimal
152,152,0.9609213846904097,0.60172269540936,152,0.5442636013031006,1,336,336,DenseNet,0.755,0.8970393076547951,Optimal
153,153,0.9691790702075066,0.6108853856134613,153,0.6448919773101807,1,761,590,DenseNet,0.755,0.8844088169720669,Optimal
154,154,0.868696315606077,0.16125212843367023,154,0.650458574295044,1,699,699,DenseNet,0.755,0.8208502307316181,Optimal
155,155,0.9642856571961108,0.15186175429154647,155,0.6133089065551758,1,220,220,DenseNet,0.755,0.7799953833360372,Optimal
156,156,0.9546251252931589,0.10241429061192944,156,0.6185281276702881,1,57,57,DenseNet,0.755,0.7711589780888308,Optimal
157,157,0.9459208350666946,0.7665412316818703,157,0.6091315746307373,1,389,389,DenseNet,0.755,0.9045395824666527,Optimal
158,158,0.7916081998705621,0.023637903657160966,158,0.6136698722839355,1,693,256,DenseNet,0.755,0.8341879079080253,Optimal
159,159,0.7203518429601866,0.36763602965096936,159,0.616485595703125,1,673,673,DenseNet,0.755,0.9377876084869611,Optimal
160,160,0.962632726317119,0.18703941785567527,160,0.6136023998260498,1,86,86,DenseNet,0.755,0.7895428913488469,Optimal
161,161,0.8839369426360723,0.7390286452543446,161,0.6086030006408691,1,401,401,DenseNet,0.755,0.9355315286819639,Optimal
162,162,0.9421595284176828,0.31796478987084215,162,0.6197245121002197,1,311,311,DenseNet,0.755,0.8309803052338143,Optimal
163,163,0.9179979104492184,0.23280130723005282,163,0.6169247627258301,1,551,551,DenseNet,0.755,0.8224701809014465,Optimal
164,164,0.9348695297838135,0.021867750522534125,164,0.6041879653930664,1,612,612,DenseNet,0.755,0.7644851813904602,Optimal
165,165,0.9475755040119047,0.8784720853721852,165,0.6167171001434326,1,901,696,DenseNet,0.755,0.9037122479940476,Optimal
166,166,0.7192255507495423,0.32262578076012866,166,0.6095566749572754,1,706,706,DenseNet,0.755,0.9282672764507134,Optimal
167,167,0.8250002907847376,0.6543341118469833,167,0.8182985782623291,1,956,956,DenseNet,0.755,0.9240087380037947,Optimal
168,168,0.9777495053414613,0.31571398596155553,168,0.5724010467529297,1,722,722,DenseNet,0.755,0.8244534821314258,Optimal
169,169,0.9919676260803831,0.04302635702018096,169,0.62203049659729,1,314,314,DenseNet,0.755,0.7367651520655312,Optimal
170,170,0.8923020436355673,0.027188416900904986,170,0.8501803874969482,1,414,748,DenseNet,0.755,0.7256009855332055,Optimal
171,171,0.8038534516907736,0.46746109750296794,171,0.6141541004180908,1,958,958,DenseNet,0.755,0.9389000234258325,Optimal
172,172,0.7594332466850267,0.6729962301790215,172,0.8182787895202637,1,394,394,DenseNet,0.755,0.9614627368221762,Optimal
173,173,0.86071391744314,0.3547118062091932,173,0.6140475273132324,1,409,409,DenseNet,0.755,0.8823091110024202,Optimal
174,174,0.9086427841566331,0.7239485497160072,174,0.6148552894592285,1,33,33,DenseNet,0.755,0.9231786079216835,Optimal
175,175,0.8438238552039872,0.1674612459099287,175,0.6117665767669678,1,512,512,DenseNet,0.755,0.8445117396837467,Optimal
176,176,0.8568970836158583,0.4734368306687393,176,0.715733528137207,1,101,101,DenseNet,0.755,0.888477283824954,Optimal
177,177,0.6133324514109082,0.9541876258625798,177,0.7185850143432617,1,917,917,DenseNet,0.755,1.0,Optimal
178,178,0.8754091145329542,0.49368345018359205,178,0.8146300315856934,1,105,105,DenseNet,0.755,0.8595587973829976,Optimal
179,179,0.9112616249020721,0.17569233139256243,179,0.7172479629516602,1,573,573,DenseNet,0.755,0.7864802796591895,Optimal
180,180,0.866740658338778,0.22808347336142681,180,0.920994758605957,1,20,20,DenseNet,0.755,0.7709018495194784,Optimal
181,181,0.9292816937419505,0.15721367715469822,181,1.024843454360962,1,139,139,DenseNet,0.755,0.6959517088274588,Optimal
182,182,0.7956744880567928,1.6290167876004684,182,0.6908934116363525,1,401,593,DenseNet,0.755,0.9796627559716036,Optimal
183,183,0.7675460485964563,0.42581673102361695,183,0.6891283988952637,1,787,787,DenseNet,0.755,0.9278990587338602,Optimal
184,184,0.9090115182065764,1.0289289247451376,184,0.8749995231628418,1,696,629,DenseNet,0.755,0.9229942408967118,Optimal
185,185,0.8257077901813784,0.45750619278953686,185,0.8121249675750732,1,162,162,DenseNet,0.755,0.8759914112129267,Optimal
186,186,0.7942330488336742,0.06375686193581145,186,0.8198707103729248,1,107,107,DenseNet,0.755,0.7913550134738845,Optimal
187,187,0.6857039699601523,0.40345950770816164,187,1.0256526470184326,1,994,994,DenseNet,0.755,0.8444517151724322,Optimal
188,188,0.8757659992829903,0.5779061238914431,188,1.018662691116333,1,163,163,DenseNet,0.755,0.8294278585522824,Optimal
189,189,0.8923967872464337,0.07271651220011037,189,1.1236984729766846,1,982,578,DenseNet,0.755,0.6685561161826397,Optimal
190,190,0.9305767859633257,0.6580335618617223,190,0.7153277397155762,1,962,962,DenseNet,0.755,0.8978880625548737,Optimal
191,191,0.8998321001174601,0.18246203465749444,191,0.6150565147399902,1,493,492,DenseNet,0.755,0.819435329920646,Optimal
192,192,0.9380610766365802,0.06685633613056571,192,0.8171558380126953,1,175,184,DenseNet,0.755,0.7208945862111775,Optimal
193,193,0.9054789715282373,0.23607934223139085,193,0.5986871719360352,1,959,925,DenseNet,0.755,0.8341085568097203,Optimal
194,194,0.7966624297053729,0.42484580038877856,194,0.8253335952758789,1,220,220,DenseNet,0.755,0.8790468364255384,Optimal
195,195,0.8992445515436053,0.1765601076936821,195,0.7425317764282227,1,804,804,DenseNet,0.755,0.7863848070445623,Optimal
196,196,0.9833428979793862,0.08004586633154168,196,0.9091548919677734,1,588,588,DenseNet,0.755,0.678551294601249,Optimal
197,197,0.9074631800145423,0.4809175531823724,197,0.8122363090515137,1,668,668,DenseNet,0.755,0.8409387210254435,Optimal
198,198,0.8830679702526665,0.3931824109620782,198,0.8170289993286133,1,676,676,DenseNet,0.755,0.830004367782033,Optimal
199,199,0.9485499698387626,0.268130957972157,199,0.6123263835906982,1,595,595,DenseNet,0.755,0.8171761586759834,Optimal
200,0,0.6900994164060156,0.8152503093933186,0,1.053499698638916,1,207,207,DenseNet,0.755,0.9404376526886007,EGP
201,1,0.9602571755729531,0.07915827478935802,1,0.8163540363311768,1,721,721,DenseNet,0.755,0.7130724718280688,EGP
202,2,0.9957099990428356,0.22629186629073877,2,0.7027323246002197,1,123,123,DenseNet,0.755,0.760534885901212,EGP
203,3,0.8579464512978547,0.13626591082446463,3,0.5849487781524658,1,408,408,DenseNet,0.755,0.8363560575190723,EGP
204,4,0.9137107743146797,1.5496422660578482,4,0.5817546844482422,1,444,444,DenseNet,0.755,0.9206446128426602,EGP
205,5,0.9867721282851748,0.8518663352214098,5,0.6682031154632568,1,157,157,DenseNet,0.755,0.8841139358574126,EGP
206,6,0.961422557792902,0.004470272459750224,6,0.631563663482666,1,871,871,DenseNet,0.755,0.7400153733478201,EGP
207,7,0.8018091198166097,0.4141749430860221,7,0.6455578804016113,1,919,919,DenseNet,0.755,0.9187497057627978,EGP
208,8,0.8472441125663186,0.429579607921738,8,0.7309229373931885,1,862,862,DenseNet,0.755,0.8785421113489781,EGP
209,9,0.9976605441715192,0.15266354441894778,9,0.6558077335357666,1,803,609,DenseNet,0.755,0.7528836806350356,EGP
210,10,0.810539294454841,0.17058073345609126,10,0.8465871810913086,1,504,504,DenseNet,0.755,0.8032287408637752,EGP
211,11,0.8019900452266098,0.2593385641931244,11,0.8243587017059326,1,604,604,DenseNet,0.755,0.835249943008493,EGP
212,12,0.5494799093800811,0.14614188362525307,12,0.7476260662078857,1,583,682,DenseNet,0.755,0.8496289543543418,EGP
213,13,0.9735201863475256,0.0580385577503506,13,0.6304111480712891,1,641,641,DenseNet,0.755,0.7476467592460025,EGP
214,14,0.732871377412146,0.05687692310401737,14,0.6486263275146484,1,441,441,DenseNet,0.755,0.8520626488973422,EGP
215,15,0.9973761184978833,0.21328646225088188,15,0.6297607421875,1,853,853,DenseNet,0.755,0.7746933707669038,EGP
216,16,0.7127223323111429,1.552480658791608,16,0.5859246253967285,1,354,354,DenseNet,0.755,1.0,EGP
217,17,0.9806074625491156,0.08597293932781673,17,0.6025795936584473,1,52,52,DenseNet,0.755,0.7580446051427846,EGP
218,18,0.7511411465786264,0.10258954694774886,18,0.6095128059387207,1,634,634,DenseNet,0.755,0.873269185252257,EGP
219,19,0.9840072140260441,0.7826389852595592,19,0.661362886428833,1,39,39,DenseNet,0.755,0.8854963929869779,EGP
220,20,0.913849127994942,0.10283406131678025,20,0.5803921222686768,1,435,876,DenseNet,0.755,0.8011859207645549,EGP
221,21,0.7855206333737548,0.2944339037879746,21,0.6753854751586914,1,282,282,DenseNet,0.755,0.8895017904704434,EGP
222,22,0.9260765611791545,0.2865469642123273,22,0.6483359336853027,1,156,156,DenseNet,0.755,0.8240144770421789,EGP
